team,player,pos_x,pos_y,pos_z,smooth_x_speed,smooth_y_speed,ball_carrier,playing_direction_event
1,3,-15.26,-15.05,0.0,-0.21,0.01,0,True
1,19,-23.67,-5.07,0.0,-0.69,0.68,0,True
1,12,-7.37,13.22,0.0,-1.37,0.76,0,True
2,8,-43.36,0.0,0.0,-0.9,0.06,0,True
2,22,5.03,33.16,0.0,0.16,0.0,0,True
1,21,5.69,3.25,0.0,0.52,0.92,0,True
2,4,3.06,-25.24,0.0,-0.1,-1.37,0,True
2,2,-7.29,18.31,0.0,-1.12,0.91,0,True
2,17,-17.32,7.68,0.0,-2.63,2.28,0,True
1,16,5.34,20.98,0.0,-0.04,0.54,0,True
1,1,-22.25,15.5,0.0,-1.62,-0.4,0,True
2,9,-26.68,-19.17,0.0,0.15,0.57,0,True
1,6,32.69,0.82,0.0,-0.38,0.78,0,True
1,13,-10.35,-2.86,0.0,-1.07,2.76,0,True
2,20,-31.3,19.53,0.0,-0.01,0.64,0,True
1,10,-28.58,7.07,0.0,-3.44,2.32,0,True
2,15,-32.55,-6.35,0.0,-1.64,-1.23,0,True
1,7,4.52,-15.67,0.0,0.17,-0.12,0,True
2,5,-18.84,-6.14,0.0,0.06,2.56,0,True
2,18,-32.97,11.79,0.0,1.05,0.02,0,True
1,14,3.6,-4.76,0.0,-0.23,0.24,0,True
2,11,6.9,0.72,0.0,-0.6,0.57,0,True
0,0,-32.62,11.27,0.14,4.2,-0.56,0,True
