team,player,pos_x,pos_y,pos_z,smooth_x_speed,smooth_y_speed,ball_carrier,playing_direction_event
1,2,-29.0,-7.43,0.0,-4.55,0.75,0,False
1,20,-25.75,10.49,0.0,-4.8,-0.6,0,False
1,13,-9.71,4.8,0.0,-3.21,-0.08,0,False
2,8,-48.04,0.42,0.0,-2.26,0.44,0,False
2,3,-23.05,-14.73,0.0,-4.25,2.26,0,False
1,5,2.58,7.53,0.0,-1.2,-0.98,0,False
2,16,-20.82,10.13,0.0,-4.75,-1.07,0,False
1,14,-2.21,22.84,0.0,-3.31,-1.62,0,False
1,1,-26.0,21.44,0.0,-3.23,-4.86,0,False
1,11,-28.12,-13.41,0.0,-3.63,1.36,0,False
1,15,1.81,-9.09,0.0,-2.31,1.2,0,False
2,10,-29.12,-9.33,0.0,-4.87,0.24,0,False
2,22,-20.86,-3.07,0.0,-5.11,1.69,0,False
1,6,30.75,0.68,0.0,-0.78,-0.14,0,False
2,21,-25.64,3.04,0.0,-3.44,0.41,0,False
2,9,-28.18,18.09,0.0,-4.8,-3.82,0,False
1,19,-21.55,1.98,0.0,-6.18,2.74,0,False
1,7,-26.35,-2.9,0.0,-5.14,5.32,0,False
2,4,-19.52,-0.11,0.0,-5.61,1.37,0,False
2,17,-28.23,-3.67,0.0,-4.67,1.61,0,False
2,12,-1.78,-1.68,0.0,-1.44,0.35,0,False
2,18,-11.18,16.88,0.0,-3.43,-0.85,0,False
0,0,-21.97,2.62,0.13,-7.29,1.27,0,False
