team,player,pos_x,pos_y,pos_z,smooth_x_speed,smooth_y_speed,ball_carrier,playing_direction_event
1,1,0.04,-12.61,0.0,0.33,1.5,0,True
1,11,0.33,-18.24,0.0,0.07,1.72,0,True
2,6,41.17,-3.18,0.0,-0.53,0.39,0,True
2,20,-8.19,-18.3,0.0,-0.39,1.3,0,True
1,3,-8.36,-20.64,0.0,-1.17,2.83,0,True
2,22,-2.95,14.25,0.0,0.25,0.55,0,True
2,17,5.32,-21.63,0.0,-2.59,0.03,0,True
1,10,19.76,-14.32,0.0,-1.93,1.96,0,True
1,16,-10.14,-12.34,0.0,0.19,1.54,0,True
2,8,18.58,-4.63,0.0,-0.4,0.6,0,True
1,21,-10.02,-25.18,0.0,1.03,0.37,0,True
1,13,10.97,-23.75,0.0,3.94,1.55,0,True
2,14,6.36,-19.86,0.0,-0.38,1.8,0,True
2,18,20.19,-17.5,0.0,-0.2,3.08,0,True
1,4,-36.47,-2.74,0.0,-0.43,1.01,0,True
1,9,13.21,-10.12,0.0,-2.95,-2.73,0,True
2,7,9.88,-25.23,0.0,-0.11,1.51,0,True
2,15,-9.14,-24.6,0.0,-0.23,1.47,0,True
1,5,-8.77,2.37,0.0,0.19,1.19,0,True
2,2,4.78,-5.53,0.0,1.36,1.46,0,True
2,19,13.81,-9.87,0.0,-4.44,-0.03,0,True
1,12,5.39,-13.68,0.0,-0.02,2.69,0,True
0,0,11.93,-10.41,1.16,-5.53,-2.22,0,True
