team,player,pos_x,pos_y,pos_z,smooth_x_speed,smooth_y_speed,ball_carrier,playing_direction_event
2,18,37.31,-0.75,0.0,4.43,0.66,0,True
2,9,19.83,11.6,0.0,5.25,-0.97,0,True
2,21,30.76,-21.44,0.0,4.99,2.35,0,True
1,20,36.44,-2.89,0.0,6.08,0.16,0,True
2,16,27.17,-8.88,0.0,5.59,0.94,0,True
2,8,37.6,-26.12,0.0,4.05,0.02,0,True
2,5,35.44,5.49,0.0,7.09,-1.23,0,True
2,11,5.3,-2.06,0.0,3.99,0.3,0,True
2,10,12.38,-18.8,0.0,3.18,0.69,0,True
2,15,29.76,-3.76,0.0,5.73,-0.21,0,True
1,22,35.82,-30.9,0.0,3.57,1.38,0,True
1,12,14.09,11.62,0.0,4.35,-1.79,0,True
1,7,37.34,-22.79,0.0,5.89,-1.83,0,True
1,6,24.9,5.86,0.0,5.33,-1.39,0,True
1,19,-32.53,-2.92,0.0,1.25,0.54,0,True
1,14,5.43,-10.73,0.0,4.91,0.77,0,True
2,4,50.99,-2.61,0.0,0.32,-0.2,0,True
1,1,1.14,-1.27,0.0,4.07,-0.55,0,True
1,17,35.76,8.65,0.0,5.89,-2.68,0,True
1,13,8.97,-19.15,0.0,4.46,0.88,0,True
1,3,14.91,-1.98,0.0,5.24,-0.85,0,True
2,2,39.59,-17.43,0.0,4.99,-2.99,0,True
0,0,36.56,-31.39,0.05,6.85,6.42,0,True
